nbre_observation;annee;bbtd;population;QA;QE;Q1;Q2;Q5;Q7;Q8;Q9;Q14;Q17;Q23;Q25;Q30;Q35;Q43-Est;Q43-Sud;Q43-Ouest;Q43-Nord;Q45-Est;Q45-Sud;Q45-Ouest;Q45-Nord;QB;QC;QD;Q11;Q12;Q13;Q20;Q40-Est;Q40-Sud;Q40-Ouest;Q40-Nord
60;2019;1;310;3;7;2;8;3;13;1;5;1;1;0;0;0;1;3;3;6;4;3;3;6;4;2.61044000;6.66578333;22;4;0,155;3;0,01;0;0;40;1
61;2019;0;315;3;7;2;8;3;13;1;5;1;1;0;0;0;1;3;4;4;3;3;4;4;3;2.61050833;6.66547667;22;4;0,07875;0;0;0;1;0;0
62;2019;0;180;3;6;2;0;3;13;1;2;1;1;0;0;0;0;0;6;3;5;0;6;3;5;2.60740123;6.66849779;21;0;0,18;0;0;0;0;0;0
63;2019;1;30;2;6;1;8;3;99;1;2;1;1;0;0;0;0;6;6;6;4;6;4;6;4;2.54760167;6.53323833;18;5;0,03;3;0,1;0;30;1;1
64;2019;1;30;2;6;2;8;3;99;1;2;1;1;0;0;0;1;0;4;6;1;6;4;6;6;2.55378167;6.55548333;21;5;0,03;5;0,17;0;0;0;1
65;2019;1;20;5;7;2;8;1;13;1;2;1;1;0;0;0;1;3;6;6;6;3;6;0;6;2.66304914;6.48539791;15;3;0,05;2;0,1;0;0;60;0
66;2019;0;20;5;7;2;0;3;13;2;1;1;1;1;0;0;1;3;3;0;3;3;3;0;3;2.69478256;6.52069390;16;1;0,067;0;0;0;60;0;0
67;2019;0;40;5;7;2;11;3;13;1;5;1;1;1;0;0;0;3;4;0;3;3;4;0;3;2.69508333;6.52005833;21;0;0,1;0;0;0;2;60;40
68;2019;0;100;5;6;2;8;3;99;1;2;1;1;1;0;0;1;5;0;4;5;5;0;4;5;2.69480517;6.51974235;21;4;0,1;0;0;60;0;1;0
69;2019;0;6;5;5;2;8;1;13;2;5;1;1;0;0;0;1;0;6;6;6;0;6;6;6;2.65015491;6.49726902;26;2;0,006;0;0;40;0;90;0
70;2019;1;30;5;6;2;8;3;4;1;2;1;1;0;0;0;1;6;5;6;4;6;5;6;4;2.65066500;6.4987933;26;7;0,03;3;0,1;0;0;0;2
